Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
P38631	31604;	FKS1	NP_013446	FKS1	YLR342W	D6VYY0;Q53YZ4;Q6TKS9;Q6TKT0;	0
P40989	33277;	GSC2	NP_011546	FKS2	YGR032W	D6VUG8;Q45U52;	0
P22147	33080;	XRN1	NP_011342	XRN1	YGL173C	D6VTX9;	0
P33302	34549;	PDR5	NP_014796	PDR5	YOR153W	D6W2L0;	0
Q03834	32152;	MSH6	NP_010382	MSH6	YDR097C	D6VS82;	0
P08539	36430;	GPA1	NP_011868	GPA1	YHR005C	D3DKU8;	0
P06169	31319;	PDC1	NP_013145	PDC1	YLR044C	D6VY46;O00042;Q07991;Q12682;Q12686;Q12687;	0
P12904	33136;	SNF4	NP_011400	AAKG	YGL115W	D6VU32;	0
P25847	34312;	MSH2	NP_014551	MSH2	YOL090W	D6W1X8;Q12423;	0
P02994	36251;	TEF1	NP_009676	EF1A	YPR080W	D6VQB6;Q7Z7U8;Q7Z8Q8;Q7Z8Q9;	0
P06782	32529;	SNF1	NP_010765	SNF1	YDR477W	D6VTA0;	0
P41277	34937;	GPP1	NP_012211	GPP1	YIL053W	D6VVM8;P38012;	0
P28240	36807;	ICL1	NP_010987	ACEA	YER065C	D3DLX0;	0
P32485	31384;	HOG1	NP_013214	HOG1	YLR113W	D6VYB1;Q06232;Q12294;	0
P53104	33074;	ATG1	NP_011335	ATG1	YGL180W	D6VTX3;	0
P46946	33078;	SAE2	NP_011340	COM1	YGL175C	D6VTX7;	0
P38766	36462;	RRM3	NP_011896	RRM3	YHR031C	D3DKX8;	0
P39013	35739;	END3	NP_014315	END3	YNL084C	D6W195;Q8TFC4;Q8TFD0;Q8TG51;	0
P32791	31482;	FRE1	NP_013315	FRE1	YLR214W	D6VYL5;	0
P31378	31751;	NTG1	NP_009387	NTH1	YAL015C	D6VPK3;	0
P32478	33601;	HSP150	NP_012376	HS150	YJL159W	B6RI02;B6RI03;B6RI04;D6VW28;P47000;Q03179;Q6VXX4;Q86ZT2;	0
Q03497	36419;	STE20	NP_011856	STE20	YHL007C	D3DKQ8;	0
P32944	33575;	SWE1	NP_012348	SWE1	YJL187C	D6VW03;	0
P47001	33602;	CIS3	NP_012377	CIS3	YJL158C	D6VW29;	0
P10081	34190;	TIF1	NP_012397	IF4A	YKR059W	D6VW46;	0
P19145	34171;	GAP1	NP_012965	GAP1	YKR039W	D6VXA2;	0
P53296	33429;	ATF2	NP_011693	ATF2	YGR177C	D6VUW1;E9P955;	0
P38182	32625;	ATG8	NP_009475	ATG8	YBL078C	D6VPS5;	0
Q03153	35273;	ATP25	NP_013816	ATP25	YMR098C	D6VZS1;	0
Q12165	32050;	ATP16	NP_010280	ATPD	YDL004W	D6VRY4;	0
P39981	36665;	AVT2	NP_010850	AVT2	YEL064C	D3DLI6;Q2VQX2;	0
P38176	32615;	AVT5	NP_009464	AVT5	YBL089W	D6VPR5;	0
P40471	34867;	AYR1	NP_012142	AYR1	YIL124W	D6VVG3;	0
Q8TGM7	NA	ART2	NA	ART2	YLR154W-A	NA	0
P53895	35670;	ASI2	NP_014240	ASI2	YNL159C	D6W124;	0
Q07879	31271;	ATG10	NP_013058	ATG10	YLL042C	D6VXW4;	0
Q06628	36357;	ATG13	NP_015511	ATG13	YPR185W	D6W4I5;	0
P40344	35832;	ATG3	NP_014404	ATG3	YNR007C	D6W1I2;	0
P21306	35942;	ATP15	NP_015052	ATP5E	YPL271W	D6W399;	0
P61829	34780;	OLI1	NP_009319	ATP9	Q0130	A0A0A7P075;P00841;Q37750;	0
Q12675	32150;	DNF2	NP_010378	ATC4	YDR093W	D6VS80;	0
P16639	33229;	ATE1	NP_011498	ATE1	YGL017W	D6VUC0;	0
Q03818	35336;	ATG16	NP_013882	ATG16	YMR159C	D6VZY1;	0
P53855	35597;	ATG2	NP_014157	ATG2	YNL242W	D6W0V1;	0
P40458	34846;	ATG32	NP_012120	ATG32	YIL146C	D6VVE1;	0
Q12292	34319;	ATG34	NP_014558	ATG34	YOL083W	D6W1Y5;	0
Q12048	35912;	ATG41	NP_015073	ATG41	YPL250C	D6W3C0;	0
Q12380	36034;	ATG5	NP_015176	ATG5	YPL149W	D6W3M0;	0
P32907	35828;	ATO2	NP_014399	ATO2	YNR002C	D6W1H8;	0
P18496	31652;	ATP10	NP_013497	ATP10	YLR393W	D6VZ28;Q06020;	0
P81451	34324;	ATP19	NP_014564	ATP19	YOL077W-A	D6W1Z0;	0
P38077	32740;	ATP3	NP_009595	ATPG	YBR039W	D6VQ39;Q54AF5;Q76MT6;	0
Q06405	32436;	ATP17	NP_010665	ATPK	YDR377W	D6VT09;	0
P33204	34119;	ARC19	NP_012912	ARPC4	YKL013C	D6VXS3;	0
Q06541	31509;	ARV1	NP_013343	ARV1	YLR242C	D6VYP0;Q2VQX3;	0
P40353	34759;	ATF1	NP_015022	ATF1	YOR377W	D6W370;Q08901;	0
P35193	34320;	ATG19	NP_014559	ATG19	YOL082W	D6W1Y6;Q6B1A6;	0
Q02887	36080;	ATG21	NP_015225	ATG21	YPL100W	D6W3R6;	0
P25568	30945;	ATG22	NP_009892	ATG22	YCL038C	D6VQX7;	0
P48016	36203;	ATH1	NP_015351	ATH1	YPR026W	D6W436;	0
P40416	35481;	ATM1	NP_014030	ATM1	YMR301C	D6W0C8;	0
P38110	32616;	TEL1	NP_009465	ATM	YBL088C	D6VPR6;	0
P13587	32095;	ENA1	NP_010325	ATN1	YDR040C	D6VS28;	0
Q12691	32093;	ENA5	NP_010323	ATN5	YDR038C	D6VS26;E9PAF4;P89901;	0
Q12359	32445;	ATO3	NP_010672	ATO3	YDR384C	D6VT18;	0
P81450	35059;	ATP18	NP_013629	ATP18	YML081C-A	D6W0K1;	0
P36090	34086;	ANR2	NP_012877	ANR2	YKL047W	D6VXP0;	0
P38832	36559;	ANS1	NP_011994	ANS1	YHR126C	D3DL75;	0
P53309	33493;	YAP1802	NP_011757	AP18B	YGR241C	D6VV22;	0
Q00776	35953;	APM1	NP_015064	AP1M1	YPL259C	D6W3B0;	0
P38153	32982;	APM3	NP_009847	AP3M	YBR288C	D6VQT3;	0
P47064	33735;	APS3	NP_012510	AP3S	YJL024C	D6VWF8;	0
Q12157	32044;	APC11	NP_010276	APC11	YDL008W	D6VRX9;	0
Q02804	36129;	ARL3	NP_015274	ARL3	YPL051W	D6W3W3;	0
Q06408	32440;	ARO10	NP_010668	ARO10	YDR380W	D6VT13;	0
P08566	32183;	ARO1	NP_010412	ARO1	YDR127W	D6VSB3;	0
P40467	34861;	ASG1	NP_012136	ASG1	YIL130W	D6VVF7;Q45U13;	0
P34233	33937;	ASH1	NP_012736	ASH1	YKL185W	D6VX15;	0
P54074	35296;	ASI1	NP_013837	ASI1	YMR119W	D6VZU2;	0
P22768	34343;	ARG1	NP_014583	ASSY	YOL058W	D6W209;	0
P39945	36847;	AST2	NP_011027	AST2	YER101C	D3DM08;	0
P38929	33239;	PMC1	NP_011509	ATC2	YGL006W	D6VUD2;	0
P32660	36919;	DNF1	NP_011093	ATC5	YER166W	D3DM74;	0
P40527	34942;	NEO1	NP_012216	ATC7	YIL048W	D6VVN3;	0
P38270	32829;	ATG14	NP_009686	ATG14	YBR128C	D6VQC5;	0
P43601	31174;	ATG18	NP_444297	ATG18	YFR021W	D6VTQ1;	0
Q12092	36017;	ATG29	NP_015159	ATG29	YPL166W	D6W3K2;	0
P53867	35613;	ATG4	NP_014176	ATG4	YNL223W	D6W0W7;	0
P01097	31863;	INH1	NP_010100	ATIF	YDL181W	D6VRH1;	0
Q01896	32094;	ENA2	NP_010324	ATN2	YDR039C	D6VS27;	0
P38116	32864;	ARL1	NP_009723	ARL1	YBR164C	D6VQG0;	0
Q04052	32480;	ARO80	NP_010709	ARO80	YDR421W	D6VT51;	0
P14843	32090;	ARO3	NP_010320	AROF	YDR035W	D6VS23;	0
Q06597	36370;	ARR2	NP_015526	ARR2	YPR200C	D6W4J8;	0
Q06598	36371;	ARR3	NP_015527	ARR3	YPR201W	D6W4J9;	0
Q8TGM5	NA	ART3	NA	ART3	YLR154W-E	NA	0
Q03862	32159;	ARX1	NP_010386	ARX1	YDR101C	D6VS88;	0
Q06822	36256;	ASA1	NP_015410	ASA1	YPR085C	D6W487;	0
P0CX77	31433;	ASP3-2	NP_013256	ASP22	YLR157C	D6VYF3;P11163;Q12268;Q6Q5K8;Q6Q5K9;	0
P0CX78	31433;	ASP3-3	NP_013256	ASP23	YLR158C	D6VYF3;P11163;Q12268;Q6Q5K8;Q6Q5K9;	0
P35183	32631;	AST1	NP_009484	AST1	YBL069W	D6VPT2;P89492;	0
P46682	33512;	APL6	NP_011777	AP3B	YGR261C	D6VV40;	0
Q04601	32174;	APC4	NP_010403	APC4	YDR118W	D6VSA3;	0
Q04413	NA	API2	NA	API2	YDR525W	A0A1S0T063;	0
P38207	32679;	APN2	NP_009534	APN2	YBL019W	D6VPY1;E9P926;	0
Q12509	31358;	ARP6	NP_013186	ARP6	YLR085C	D6VY85;	0
Q05933	31630;	ARC18	NP_013474	ARPC3	YLR370C	D6VZ07;	0
P50275	34456;	ASE1	NP_116582	ASE1	YOR058C	D6W2C1;	0
P0CX79	31433;	ASP3-4	NP_013256	ASP24	YLR160C	D6VYF3;P11163;Q12268;Q6Q5K8;Q6Q5K9;	0
P38986	32378;	ASP1	NP_010607	ASPG1	YDR321W	D6VSV3;	0
Q06834	36261;	ASR1	NP_015418	ASR1	YPR093C	D6W492;	0
Q04728	35237;	ARG7	NP_013778	ARGJ	YMR062C	D6VZN6;Q04682;Q09168;	0
P05085	35044;	ARG81	NP_013610	ARGR2	YML099C	D6W0I6;	0
Q04549	32163;	ARP10	NP_010391	ARP10	YDR106W	D6VS92;Q03869;	0
P47117	33822;	ARP3	NP_012599	ARP3	YJR065C	D6VWN6;	0
Q12386	34535;	ARP8	NP_014784	ARP8	YOR141C	D6W2J7;	0
Q05123	35205;	ARP9	NP_013747	ARP9	YMR033W	D6VZK8;	0
P38328	32929;	ARC40	NP_009793	ARPC1	YBR234C	D6VQN0;	0
P53731	35861;	ARC35	NP_014433	ARPC2	YNR035C	D6W1L1;	0
P53244	33312;	ART5	NP_011582	ART5	YGR068C	D6VUK2;	0
P13586	33087;	PMR1	NP_011348	ATC1	YGL167C	D6VTY5;	0
P39524	31740;	DRS2	NP_009376	ATC3	YAL026C	D6VPJ2;	0
P39986	36698;	SPF1	NP_010883	ATC6	YEL031W	D3DLL8;	0
Q12674	35339;	DNF3	NP_013885	ATC8	YMR162C	D6VZY4;	0
P32453	35524;	ATP11	NP_014084	ATP11	YNL315C	D6W0N0;	0
Q12349	31560;	ATP14	NP_013398	ATP14	YLR295C	D6VYU0;	0
P32449	32944;	ARO4	NP_009808	AROG	YBR249C	D6VQP5;	0
P38696	36562;	ARP1	NP_011997	ARP1	YHR129C	D3DL78;Q6B1J6;	0
P53946	35763;	ARP5	NP_014339	ARP5	YNL059C	D6W1C0;	0
Q12406	36212;	ARP7	NP_015359	ARP7	YPR034W	D6W444;	0
P25641	31044;	ATG15	NP_009994	ATG15	YCR068W	D6VR71;Q8NIL6;	0
P46989	33583;	ATG27	NP_012357	ATG27	YJL178C	D6VW11;Q86ZR9;	0
Q06485	31618;	ATG33	NP_013460	ATG33	YLR356W	D6VYZ4;	0
P46983	33577;	ATG36	NP_012350	ATG36	YJL185C	D6VW05;	0
Q05789	31479;	ATG38	NP_013312	ATG38	YLR211C	D6VYL2;	0
P00856	34792;	ATP8	NP_009312	ATP8	Q0080	A0A0A7P362;	0
P38843	36575;	CHS7	NP_012011	CHS7	YHR142W	D3DL91;	0
Q01649	35376;	CIK1	NP_013925	CIK1	YMR198W	D6W023;	0
P00890	35825;	CIT1	NP_014398	CISY1	YNR001C	D6W1H7;	0
Q3E7A9	37045;	CMC4	NP_878145	CMC4	YMR194C-B	D6W019;	0
Q06156	31539;	YCS4	NP_013374	CND1	YLR272C	D6VYR9;	0
P38170	32608;	BRN1	NP_009455	CND2	YBL097W	D6VPQ8;Q6Q5G8;	0
Q05611	32328;	BSC2	NP_010561	BSC2	YDR275W	D6VSQ6;	0
Q08280	34239;	BSC6	NP_014504	BSC6	YOL137W	D6W1T2;Q6B229;	0
Q08492	34477;	BUD21	NP_014721	BUD21	YOR078W	D6W2E1;O00033;	0
P85052	36748;	BUD25	NP_076437	BUD25	YER014C-A	D3DLR2;	0
P43573	31123;	BUD27	NP_683715	BUD27	YFL023W	D6VTK7;	0
P25337	31040;	BUD31	NP_009990	BUD31	YCR063W	D6VR67;	0
P47136	33846;	BUD4	NP_012625	BUD4	YJR092W	D6VWR0;	0
P41698	31615;	BUD8	NP_013457	BUD8	YLR353W	D6VYZ1;Q06482;	0
P43568	31117;	CAK1	NP_116624	CAK1	YFL029C	D6VTK1;	0
P53615	35788;	NCE103	NP_014362	CAN	YNL036W	D6W1E3;	0
P17555	35688;	SRV2	NP_014261	CAP	YNL138W	D6W144;	0
P03965	33865;	CPA2	NP_012643	CARB	YJR109C	D6VWS8;	0
P34237	33960;	COY1	NP_012742	CASP	YKL179C	D6VX22;P34236;	0
P21560	35970;	CBP3	NP_015109	CBP3	YPL215W	D6W3F5;	0
P38323	32922;	MCX1	NP_009786	CLPX	YBR227C	D6VQM2;	0
P53332	33527;	CAB4	NP_011793	COAD	YGR277C	D6VV54;	0
P53622	31916;	COP1	NP_010136	COPA	YDL145C	D6VRK3;Q07595;	0
P18900	32704;	COQ1	NP_009557	COQ1	YBR003W	D6VQ04;	0
P27680	34306;	COQ3	NP_014545	COQ3	YOL096C	D6W1X2;	0
P39110	35315;	CIN4	NP_013858	CIN4	YMR138W	D6VZW1;	0
P20486	32835;	CKS1	NP_009693	CKS1	YBR135W	D6VQD1;	0
Q12309	31389;	CLF1	NP_013218	CLF1	YLR117C	D6VYB5;	0
Q06680	32383;	YCG1	NP_010612	CND3	YDR325W	D6VSV8;	0
P33313	32854;	CNS1	NP_009713	CNS1	YBR155W	D6VQF0;Q02125;	0
Q06096	36271;	COG4	NP_015430	COG4	YPR105C	D6W4A3;	0
P53865	35611;	CNM67	NP_014174	CNM67	YNL225C	D6W0W5;	0
Q3E846	35424;	COA6	NP_013972	COA6	YMR244C-A	D6W072;	0
P53079	33036;	COG1	NP_011292	COG1	YGL223C	D6VVB2;	0
P41811	33115;	SEC27	NP_011378	COPB2	YGL137W	D6VU12;	0
P32378	35867;	COQ2	NP_014439	COQ2	YNR041C	D6W1L7;Q6B1I3;	0
P41735	34520;	CAT5	NP_014768	COQ7	YOR125C	D6W2I3;	0
Q05779	31470;	COQ9	NP_013302	COQ9	YLR201C	D6VYK3;	0
P52924	35901;	COS10	NP_014473	COS10	YNR075W	D6W1Q0;	0
P43542	31085;	COS4	NP_116593	COS4	YFL062W	D6VTG8;	0
P53344	33542;	COS6	NP_011811	COS6	YGR295C	D6VV69;	0
Q3E823	37060;	COA2	NP_878179	COA2	YPL189C-A	D6W3H9;	0
Q05809	31485;	COA4	NP_013319	COA4	YLR218C	D6VYL8;	0
P41810	32289;	SEC26	NP_010524	COPB	YDR238C	D6VSL9;Q03779;	0
P40509	34916;	SEC28	NP_012189	COPE	YIL076W	D6VVK8;	0
P49017	35094;	COQ5	NP_013597	COQ5	YML110C	D6W0H4;	0
P53822	35505;	COS1	NP_014063	COS1	YNL336W	D6W0L1;	0
P0CX12	35073;	COS2	NP_009861	COS2	YBR302C	D6VQU7;P38363;	0
P38723	36377;	COS8	NP_011815	COS8	YHL048W	D3DKS3;	0
P04037	33068;	COX4	NP_011328	COX4	YGL187C	A2TBN6;D6VTW7;	0
P00424	35772;	COX5A	NP_014346	COX5A	YNL052W	D6W1C7;	0
P17898	35697;	CPT1	NP_014269	CPT1	YNL130C	D6W152;	0
P38779	36484;	CIC1	NP_011919	CIC1	YHR052W	D3DL01;	0
P48562	35540;	CLA4	NP_014101	CLA4	YNL298W	D6W0P6;	0
D6W196	35740;	SAL1	NP_014316	CMC1	YNL083W	P48233;Q45TY5;Q6WV05;Q96US1;	0
Q07897	31276;	CMS1	NP_013103	CMS1	YLR003C	D6VY05;	0
P40452	34835;	COA1	NP_012109	COA1	YIL157C	D6VVC9;	0
P53959	35783;	COG6	NP_014357	COG6	YNL041C	D6W1D8;	0
P32074	35550;	SEC21	NP_014112	COPG	YNL287W	D6W0Q6;	0
P00410	34812;	COX2	NP_009326	COX2	Q0250	A0A0A7NYF9;	0
P43634	31371;	CHA4	NP_013199	CHA4	YLR098C	D6VY98;	0
P38147	32969;	CHK1	NP_009833	CHK1	YBR274W	D6VQS0;	0
P32178	36233;	ARO7	NP_015385	CHMU	YPR060C	D6W465;	0
P40955	33658;	CHS6	NP_012436	CHS6	YJL099W	D6VW85;	0
P53264	33357;	CLD1	NP_011625	CLD1	YGR110W	D6VUP3;	0
P22137	33050;	CHC1	NP_011309	CLH	YGL206C	D6VTU9;	0
Q08685	34640;	CLP1	NP_014893	CLP1	YOR250C	D6W2V1;	0
Q03690	35182;	CLU1	NP_013725	CLU	YMR012W	D6VZI6;	0
Q12510	31907;	CMR1	NP_010125	CMR1	YDL156W	D6VRJ4;	0
Q3E7B2	33691;	COA3	NP_076894	COA3	YJL062W-A	D6VWB9;	0
P40094	36907;	COG3	NP_011084	COG3	YER157W	D3DM64;	0
Q05892	31556;	COQ11	NP_013393	COQ11	YLR290C	D6VYT6;	0
P53318	33506;	COQ6	NP_011771	COQ6	YGR255C	D6VV35;Q05674;Q05675;	0
Q06440	31688;	CRN1	NP_013533	CORO	YLR429W	D6VZ64;	0
P50273	32407;	ATP22	NP_010637	ATP22	YDR350C	D6VSY0;	0
P00854	34793;	ATP6	NP_009313	ATP6	Q0085	A0A0A7P052;Q95A27;	0
P30902	34116;	ATP7	NP_012909	ATP7	YKL016C	D6VXS0;	0
P00830	33877;	ATP2	NP_012655	ATPB	YJR121W	D6VWU0;	0
Q08409	34416;	AUS1	NP_014654	AUS1	YOR011W	D6W278;O94147;	0
Q04749	35243;	AVO2	NP_013784	AVO2	YMR068W	D6VZP2;	0
P36062	33990;	AVT3	NP_012776	AVT3	YKL146W	D6VX50;	0
Q12226	31253;	AYT1	NP_013037	AYT1	YLL063C	D6VXU6;	0
P41696	34509;	AZF1	NP_014756	AZF1	YOR113W	D6W2H2;	0
P47176	33903;	BAT2	NP_012682	BCA2	YJR148W	D6VWW6;Q07124;	0
Q06338	32416;	BCP1	NP_010648	BCP1	YDR361C	D6VSY9;	0
P35817	31658;	BDF1	NP_013503	BDF1	YLR399C	D6VZ34;Q06048;	0
P39960	36905;	BEM2	NP_011082	BEM2	YER155C	D3DM62;	0
P05626	36102;	ATP4	NP_015247	ATPF	YPL078C	D6W3T8;E9P905;Q02830;	0
Q01389	33662;	BCK1	NP_012440	BCK1	YJL095W	D6VW89;P32894;	0
P32839	32434;	BCS1	NP_010663	BCS1	YDR375C	D6VT07;Q06404;	0
Q08347	34254;	BDS1	NP_014478	BDS1	YOL164W	D6W1Q6;	0
P29366	32897;	BEM1	NP_009759	BEM1	YBR200W	D6VQJ6;	0
P32873	36066;	BEM3	NP_015210	BEM3	YPL115C	D6W3Q3;	0
P15703	33532;	BGL2	NP_011798	BGL2	YGR282C	D6VV59;	0
P38813	36534;	BIG1	NP_011969	BIG1	YHR101C	D3DL51;	0
Q02770	36115;	CWC27	NP_015261	CWC27	YPL064C	D6W3V1;	0
P40312	35714;	CYB5	NP_014288	CYB5	YNL111C	D6W170;	0
P14922	32816;	CYC8	NP_009670	CYC8	YBR112C	D6VQB2;	0
P36162	34214;	DAD2	NP_013009	DAD2	YKR083C	D6VXE3;	0
P32460	35021;	DCG1	NP_012296	DCG1	YIR030C	D6VVW1;	0
Q05790	31481;	CRR1	NP_013314	CRR1	YLR213C	D6VYL4;	0
P33307	33001;	CSE1	NP_011276	CSE1	YGL238W	D6VV96;	0
P38287	32860;	CSH1	NP_009719	CSH1	YBR161W	D6VQF6;	0
Q04368	35197;	CSI1	NP_013738	CSI1	YMR025W	D6VZJ9;	0
Q06705	31639;	CSR1	NP_013484	CSR1	YLR380W	D6VZ15;Q6B265;	0
Q06032	31653;	CST9	NP_013498	CST9	YLR394W	D6VZ29;	0
P38428	35442;	CUE1	NP_013991	CUE1	YMR264W	D6W090;Q03507;	0
Q04201	35042;	CUE4	NP_013607	CUE4	YML101C	D6W0I3;	0
Q08412	34443;	CUE5	NP_014685	CUE5	YOR042W	D6W2A8;	0
P28320	34038;	YJU2	NP_012828	CWC16	YKL095W	D6VXJ3;	0
P53333	33528;	CWC22	NP_011794	CWC22	YGR278W	D6VV55;	0
P53728	35852;	CPR8	NP_014425	CYP8	YNR028W	D6W1K2;E9P900;	0
P06106	31567;	MET17	NP_013406	CYSD	YLR303W	D6VYU6;	0
Q12248	32066;	DAD1	NP_010299	DAD1	YDR016C	D6VS02;	0
P69851	32377;	DAD4	NP_710144	DAD4	YDR320C-A	D6VSV2;	0
P18962	36459;	DAP2	NP_011893	DAP2	YHR028C	D3DKX5;E9P957;	0
P47005	33609;	DAS1	NP_012386	DAS1	YJL149W	D6VW36;	0
P13483	35091;	DAT1	NP_013594	DATI	YML113W	D6W0H1;	0
Q04632	35070;	COG8	NP_013640	COG8	YML071C	D6VZA2;Q03641;	0
P43621	31209;	RET2	NP_116709	COPD	YFR051C	D6VTT4;	0
P53600	36167;	RET3	NP_015315	COPZ	YPL010W	D6W402;	0
Q08058	34396;	COQ10	NP_014635	COQ10	YOL008W	D6W259;	0
P21592	36011;	COX10	NP_015153	COX10	YPL172C	D6W3J6;	0
Q01519	31314;	COX12	NP_013139	COX12	YLR038C	D6VY41;Q9URA6;	0
P32799	33065;	COX13	NP_011324	COX13	YGL191W	D6VTW3;	0
P47081	33754;	COX16	NP_012531	COX16	YJL003W	D6VWH2;	0
Q12287	31242;	COX17	NP_013092	COX17	YLL009C	D6VXZ3;	0
P53239	33307;	COX18	NP_011576	COX18	YGR062C	D6VUJ7;	0
P38824	36549;	COX23	NP_011984	COX23	YHR116W	D3DL66;	0
Q3E7A4	32639;	CMC2	NP_031358	COXM2	YBL059C-A	D6VPU0;	0
Q08226	34338;	CRT10	NP_014578	CRT10	YOL063C	D6W204;Q6B2N4;Q7LGP7;	0
P35206	32737;	CSG2	NP_009592	CSG2	YBR036C	D6VQ36;	0
Q08054	34397;	CSI2	NP_014636	CSI2	YOL007C	D6W260;	0
P15790	34955;	CKA1	NP_012229	CSK21	YIL035C	D6VVP7;	0
P19454	34460;	CKA2	NP_014704	CSK22	YOR061W	D6W2C4;	0
P40465	34859;	CSM2	NP_012134	CSM2	YIL132C	D6VVF5;Q45U15;	0
Q04659	35222;	CSM3	NP_013763	CSM3	YMR048W	D6VZM3;	0
Q12348	34283;	RRI2	NP_014524	CSN10	YOL117W	D6W1V0;	0
Q12468	31829;	RRI1	NP_010065	CSN5	YDL216C	D6VRD8;	0
Q05080	35204;	HOF1	NP_013746	CYK2	YMR032W	D6VZK6;	0
P32898	32488;	CYM1	NP_010718	CYM1	YDR430C	D6VT59;Q04068;	0
P54838	35096;	DAK1	NP_013641	DAK1	YML070W	D6VZA3;	0
Q04895	35019;	DAL4	NP_012294	DAL4	YIR028W	D6VVV9;	0
P32328	36278;	DBF20	NP_015436	DBF20	YPR111W	D6W4B0;E9P8X8;Q06105;	0
P22204	33335;	DBF2	NP_011606	DBF2	YGR092W	D6VUM4;	0
Q12395	31397;	DCN1	NP_013229	DCN1	YLR128W	D6VYC3;	0
Q06151	31537;	DCS1	NP_013372	DCPS	YLR270W	D6VYR7;Q6Q5L1;	0
Q05924	31622;	DCR2	NP_013465	DCR2	YLR361C	D6VYZ8;	0
P40087	36892;	DDI1	NP_011070	DDI1	YER143W	D3DM50;	0
P0CH64	35506;	DDI3	NP_014064	DDI3	YNL335W	D6VTG9;P43543;	0
P31385	31753;	DEP1	NP_009389	DEP1	YAL013W	D6VPK5;Q86ZS5;	0
P38307	32898;	DER1	NP_009760	DER1	YBR201W	D6VQJ8;	0
P53854	35594;	CWC25	NP_014154	CWC25	YNL245C	D6W0U8;	0
P46947	33079;	BUD13	NP_011341	CWC26	YGL174W	D6VTX8;	0
P08678	33752;	CYR1	NP_012529	CYAA	YJL005W	D6VWH0;	0
P00044	33801;	CYC1	NP_012582	CYC1	YJR048W	D6VWL9;	0
Q07533	31945;	CYK3	NP_010166	CYK3	YDL117W	D6VRN3;	0
P23285	36489;	CPR2	NP_011924	CYPB	YHR057C	D3DL06;	0
P35176	32356;	CPR5	NP_010590	CYPD	YDR304C	D6VST3;	0
P25334	31045;	CPR4	NP_009995	CYPR	YCR069W	D6VR72;P25658;	0
P21705	35525;	DAL82	NP_014085	DAL82	YNL314W	D6W0N1;	0
P53267	33360;	DAM1	NP_011628	DAM1	YGR113W	D6VUP6;Q9P422;	0
P47179	33906;	DAN4	NP_012685	DAN4	YJR151C	D6VWW9;	0
Q12091	36013;	DAP1	NP_015155	DAP1	YPL170W	D6W3J8;	0
P53195	33240;	COG7	NP_011510	COG7	YGL005C	D6VUD3;E9P921;	0
P27697	33132;	COQ8	NP_011396	COQ8	YGL119W	D6VU29;	0
P32798	34703;	COT1	NP_014961	COT1	YOR316C	D6W314;	0
P19516	36049;	COX11	NP_015193	COX11	YPL132W	D6W3N5;	0
P39103	35076;	COX14	NP_013577	COX14	YML129C	D6W0F6;	0
P40086	36890;	COX15	NP_011068	COX15	YER141W	D3DM48;	0
Q3E731	31234;	COX19	NP_013082	COX19	YLL018C-A	D6VXY5;	0
P00425	34880;	COX5B	NP_012155	COX5B	YIL111W	D6VVH6;	0
P10614	36434;	ERG11	NP_011871	CP51	YHR007C	D3DKV1;	0
P53301	33442;	CRH1	NP_011705	CRH1	YGR189C	D6VUX2;	0
P38877	36625;	CTF8	NP_012061	CTF8	YHR191C	D3DLD9;	0
P36075	34043;	CUE2	NP_012833	CUE2	YKL090W	D6VXJ8;	0
P15315	33088;	CUP2	NP_011349	CUP2	YGL166W	D6VTY6;	0
Q03375	32534;	CWC21	NP_010770	CWC21	YDR482C	D6VTA5;	0
P52868	33123;	CWC23	NP_011387	CWC23	YGL128C	D6VU20;Q6B1S2;	0
P43497	34036;	CWP2	NP_012826	CWP2	YKL096W-A	D6VXJ1;	0
P00163	34779;	COB	NP_009315	CYB	Q0105	A0A0A7NYK0;Q35802;Q35807;Q36301;Q9ZZW9;	0
P38909	34439;	CYC2	NP_014680	CYC2	YOR037W	D6W2A4;	0
P31373	31754;	CYS3	NP_009390	CYS3	YAL012W	D6VPK6;	0
P32325	32106;	DBF4	NP_010337	DBF4	YDR052C	D6VS39;P32355;	0
P20449	34447;	DBP5	NP_014689	DBP5	YOR046C	D6W2B2;	0
P33750	31240;	SOF1	NP_013090	DCA13	YLL011W	D6VXZ1;	0
P53206	33255;	YGR012W	NP_011526	CYSKL	YGR012W	D6VUE8;	0
P47178	33905;	DAN1	NP_012684	DAN1	YJR150C	D6VWW8;O94102;	0
Q12389	32025;	DBP10	NP_010253	DBP10	YDL031W	D6VRW1;	0
P32347	32102;	HEM12	NP_010332	DCUP	YDR047W	D6VS35;	0
P36091	34087;	DCW1	NP_012878	DCW1	YKL046C	D6VXP1;Q66R60;	0
P38995	32325;	CCC2	NP_010556	ATU2	YDR270W	D6VSQ3;	0
P53983	35817;	ASI3	NP_014390	ASI3	YNL008C	D6W1G9;	0
P48361	33340;	ASK10	NP_011611	ASK10	YGR097W	D6VUM9;	0
P35734	34081;	ASK1	NP_012872	ASK1	YKL052C	D6VXN5;Q68EC3;Q6B290;	0
P0CZ17	31433;	ASP3-1	NP_013256	ASP21	YLR155C	D6VYF3;P11163;Q12268;Q6Q5K8;Q6Q5K9;	0
