Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
P53065	32997;	TAD1	NP_011271	TAD1	YGL243W	D6VV92;	0
Q12030	32218;	TAF10	NP_010451	TAF10	YDR167W	D6VSE7;	0
Q03761	32199;	TAF12	NP_010429	TAF12	YDR145W	D6VSC8;	0
P42938	33458;	TDA10	NP_011721	TDA10	YGR205W	D6VUY8;	0
P47153	33872;	TDA4	NP_012650	TDA4	YJR116W	D6VWT5;	0
Q06466	36324;	TDA6	NP_015483	TDA6	YPR157W	D6W4F3;	0
P53038	33342;	TEL2	NP_011613	TEL2	YGR099W	D6VUN1;	0
P39933	36358;	PZF1	NP_015512	TF3A	YPR186C	D6W4I6;	0
Q03290	32514;	TFB3	NP_010748	TFB3	YDR460W	D6VT84;P89104;	0
Q12004	36230;	TFB4	NP_015381	TFB4	YPR056W	D6W462;	0
P32367	32825;	TFC1	NP_009681	TFC1	YBR123C	D6VQC1;	0
Q12308	36170;	TFC8	NP_015318	TFC8	YPL007C	D6W405;	0
P32776	32364;	TFB1	NP_010597	TFB1	YDR311W	D6VSU0;E9P948;	0
P43534	31089;	THI5	NP_116597	THI5	YFL058W	D6VTH2;	0
P41835	35971;	THI6	NP_015110	THI6	YPL214C	D6W3F6;	0
P32830	32797;	TIM12	NP_009649	TIM12	YBR091C	D6VQ92;	0
Q02776	36116;	TIM50	NP_015262	TIM50	YPL063W	D6W3V2;	0
O74700	36709;	TIM9	NP_010894	TIM9	YEL020W-A	D3DLM8;	0
Q06163	31582;	EST2	NP_013422	TERT	YLR318W	D6VYW1;	0
P29056	33497;	BRF1	NP_011762	TF3B	YGR246C	D6VV26;	0
P34111	31789;	TFC3	NP_009400	TFC3	YAL001C	D6VPL5;	0
P46678	35785;	BDP1	NP_014359	TFC5	YNL039W	D6W1E0;	0
Q06339	32417;	TFC6	NP_010649	TFC6	YDR362C	D6VSZ0;	0
P40308	35493;	TGL3	NP_014044	TGL3	YMR313C	D6W0E0;	0
Q12052	36026;	TGS1	NP_015168	TGS1	YPL157W	D6W3L1;	0
P00927	36830;	ILV1	NP_011009	THDH	YER086W	D3DLZ2;	0
P27796	34832;	POT1	NP_012106	THIK	YIL160C	D6VVC6;	0
O13539	36601;	THP2	NP_012037	THP2	YHR167W	D3DLB6;	0
Q08686	34641;	TUM1	NP_014894	THTR	YOR251C	D6W2V2;	0
P87108	36431;	TIM10	NP_011869	TIM10	YHR005C-A	D3DKU9;	0
P53220	33278;	TIM21	NP_011547	TIM21	YGR033C	D6VUG9;Q45U51;	0
P47045	33700;	TIM54	NP_012481	TIM54	YJL054W	D6VWC8;	0
P23254	36247;	TKL1	NP_015399	TKT1	YPR074C	D6W478;	0
